   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        6    0.000    0.000   60.012   10.002 ai.py:191(ai_get_move)
        3    0.000    0.000    0.000    0.000 alpha_beta.py:11(__init__)
        6    0.000    0.000   60.012   10.002 alpha_beta.py:17(get_move)
  11324/6    0.048    0.000   60.012   10.002 alpha_beta.py:24(alphabeta_nega)
  3391526    1.084    0.000    1.084    0.000 bitboard.py:18(__init__)
 64592650   12.507    0.000   15.660    0.000 bitboard.py:30(get_bit)
   847887    0.283    0.000    0.348    0.000 bitboard.py:52(set_bit_at)
   423968    0.393    0.000    1.385    0.000 board.py:114(add_move)
   423919    0.433    0.000    1.544    0.000 board.py:150(remove_move)
   423939    0.126    0.000   53.570    0.000 board.py:192(has_connection)
   847864    1.145    0.000    1.594    0.000 board.py:245(__translate)
   862191    0.539    0.000    0.663    0.000 board.py:283(__reverse_translate)
    48034    0.139    0.000    0.166    0.000 board.py:346(get_neighbors)
        7    0.000    0.000    0.000    0.000 board.py:50(__init__)
  1062284    0.491    0.000    0.576    0.000 board.py:64(check_legal_move)
    21679    0.485    0.000    1.782    0.000 board.py:98(get_legal_moves)
     14/1    0.000    0.000  102.122  102.122 cli.py:144(__game_loop)
   423939   20.913    0.000   24.812    0.000 connection_checking.py:44(bitwise_parallel_reduction)
   423939   11.272    0.000   28.354    0.000 connection_checking.py:5(convert_bitboards_to_Y_reduction)
   423939    0.277    0.000   53.443    0.000 connection_checking.py:78(connection_check)
        6    0.000    0.000   60.014   10.002 game_state.py:543(ai_play_move)
    10390    0.021    0.000   59.689    0.006 path_oriented.py:8(evaluate)
   422991    0.171    0.000   53.621    0.000 path_oriented.py:90(_is_game_over)
