   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000   89.143   89.143 __main__.py:19(main)
        5    0.000    0.000   50.078   10.016 ai.py:191(ai_get_move)
 46456609    9.036    0.000   11.334    0.000 bitboard.py:30(get_bit)
   215686    0.082    0.000    0.099    0.000 bitboard.py:52(set_bit_at)
   215686    0.191    0.000    0.613    0.000 board.py:114(add_move)
   304274    0.102    0.000   39.261    0.000 board.py:192(has_connection)
      121    0.000    0.000    0.000    0.000 board.py:205(get_dim)
   583247    0.273    0.000    0.611    0.000 board.py:209(get_space_value)
   135201    0.209    0.000    0.289    0.000 board.py:245(__translate)
  3441154    2.199    0.000    2.688    0.000 board.py:283(__reverse_translate)
    11903    0.138    0.000    0.847    0.000 board.py:328(duplicate_board)
    11904    0.014    0.000    0.026    0.000 board.py:50(__init__)
  6613541    2.920    0.000    3.414    0.000 board.py:64(check_legal_move)
   134970    2.331    0.000    8.657    0.000 board.py:98(get_legal_moves)
   304274    0.721    0.000    1.502    0.000 connection_checking.py:16(<listcomp>)
   304274   15.300    0.000   18.110    0.000 connection_checking.py:44(bitwise_parallel_reduction)
   304274    8.488    0.000   20.840    0.000 connection_checking.py:5(convert_bitboards_to_Y_reduction)
   304274    0.208    0.000   39.158    0.000 connection_checking.py:78(connection_check)
        5    0.000    0.000   50.079   10.016 game_state.py:543(ai_play_move)
